index,html
43,"You must walk bravely on a little longer, and take good, long steps, and in another hour we shall be there,"" said Dete."
44,"They were now joined by a stout, good-natured looking woman, who walked on ahead with her old acquaintance."
45,And where are you going with the child? asked the one who had just joined the party.
46,"I suppose it is the child your sister left? ""Yes,"" answered Dete. ""I am taking her up to Uncle, where she must stay."""
47,"This child stay up there with Alm-Uncle! You must be out of your senses, Dete! How can you think of such a thing! The old man, however, will soon send you both packing off home again!"
48,"He cannot very well do that, seeing that he is her grandfather. He must do something for her.
I have had the charge of the child till now, and I can tell you, Barbel, I am not going to give up the chance which has just fallen to me of getting a good place, for her sake."
49,"To Frankfurt, where an extra good place awaits me, answered Dete. ""The people I am going to were down at the Baths last summer, and it was part of my duty to attend upon their rooms. They would have liked then to take me away with them, but I could not leave. Now they are there again and have repeated their offer, and I intend to go with them, you may make up your mind to that!"""
50,"I am glad I am not the child! exclaimed Barbel, with a gesture of horrified pity. ""Not a creature knows anything about the old man up there! He will have nothing to do with anybody, and never sets his foot inside a church from one year's end to another. When he does come down once in a while, everybody clears out of the way of him and his big stick. The mere sight of him, with his bushy grey eyebrows and his immense beard, is alarming enough. He looks like any old heathen or Indian, and few would care to meet him alone."""
51,"Well, and what of that? said Dete, in a defiant voice, ""he is the grandfather all the same, and must look after the child. He is not likely to do her any harm, and if he does, he will be answerable for it, not I."""
52,"I should very much like to know, continued Barbel, in an inquiring tone of voice, ""what the old man has on his conscience that he looks as he does, and lives up there on the mountain like a hermit, hardly ever allowing himself to be seen. All kinds of things are said about him. You, Dete, however, must certainly have learnt a good deal concerning him from your sister--am I not right?"""
53,"You are right, I did, but I am not going to repeat what I heard; if it should come to his ears I should get into trouble about it."
54,Oh yes..
55,"You are right, I did, but I am not going to repeat what I heard; if it should come to his ears I should get into trouble about it."
55,"He is right, I did, but I am not going to repeat what I heard; if it should come to his ears I should get into trouble about it."
56,"She is right, I did, but I am not going to repeat what I heard; if it should come to his ears I should get into trouble about it."
57,"I am right, I did, but I am not going to repeat what I heard; if it should come to his ears I should get into trouble about it."
58,"We are right, I did, but I am not going to repeat what I heard; if it should come to his ears I should get into trouble about it."
59,"They are right, I did, but I am not going to repeat what I heard; if it should come to his ears I should get into trouble about it."
60,"It is right, I did, but I am not going to repeat what I heard; if it should come to his ears I should get into trouble about it."
61,"Who is right? I did, but I am not going to repeat what I heard; if it should come to his ears I should get into trouble about it."
62,"Why is he right, I did, but I am not going to repeat what I heard; if it should come to his ears I should get into trouble about it."
63,"Where is right? I did, but I am not going to repeat what I heard; if it should come to his ears I should get into trouble about it."
64,"What is right? I did, but I am not going to repeat what I heard; if it should come to his ears I should get into trouble about it."
65,"yo? I did, but I am not going to repeat what I heard; if it should come to his ears I should get into trouble about it."
